sample,NPSS1,NPSS2,NPSS3,NPSS4,NPSS5,NPSS6,Genus
ASV85,0.000249932710424117,0.00930518706502096,0,0.00544084285000192,0.00799784673357173,0.000769023724381897,g__unclassified
ASV86,0.00594070827085016,0.00161494982120198,0.00524858691890645,0.00234552235936479,0.000961279655477371,0.00074979813127235,g__Solirubrobacter
ASV87,0.00171107778674972,0.0150536394047756,0.00123043795901104,0.00248010151113162,0,0,g__unclassified
ASV88,0,0.0018648825316261,0.00290306455954166,0.0040950513323336,0,0,g__Sphingomonas
ASV89,0.00240319913869343,0.00217249202137886,0.0022686199869266,0.00349905794593763,0.00067289575883416,0.000942054062367824,g__Nocardioides
ASV90,0.000538316607067328,0.0048640750567155,0.000903602876148729,0.00165340100742108,0.000461414234629138,0.000269158303533664,g__unclassified
ASV91,0.000653670165724613,0.000211481524205022,0.000461414234629138,0.000422963048410043,0.000653670165724613,0.00357596031837582,g__unidentified_Chitinophagaceae
ASV92,0.000115353558657285,0.000422963048410043,0.000903602876148729,0.000788249317491445,0.0018648825316261,0.00455646556696274,g__unclassified
ASV93,0.000326835082862306,0.000422963048410043,0.00121121236590149,0.000865151689929634,0.000519091013957781,0.000788249317491445,g__unclassified
ASV94,0.000480639827738686,0.00117276117968239,0.000653670165724613,0.00165340100742108,0.00157649863498289,0.000576767793286423,g__unclassified
ASV95,0,0.000115353558657285,0.000422963048410043,0.000365286269081401,0.00124966355212058,0.00659437843657477,g__Roseisolibacter
ASV96,0,0.000365286269081401,9.61279655477372e-05,0,7.69023724381897e-05,0,g__Bacillus
ASV97,0.000115353558657285,0,0,0.000249932710424117,0.00734417656784712,0.022897681393471,g__Gemmatimonas
ASV98,0.00169185219364017,0,0.000230707117314569,0.00107663321413466,0.00136501711077787,0,g__unclassified
ASV99,0.00194178490406429,0.00117276117968239,0.00151882185565425,0.00244165032491252,0.00119198677279194,0,g__unclassified
ASV100,0,0.00136501711077787,0.000422963048410043,0.00136501711077787,9.61279655477372e-05,0.0014995962625447,g__Pontibacter
ASV101,0,0,0,0,0,0,g__Vulcaniibacterium
ASV102,0.00123043795901104,0,0.000692121351943707,0.000307609489752759,0.000365286269081401,0,g__unclassified
ASV103,0.000499865420848233,0.000461414234629138,0.000442188641519591,0.00142269389010651,0.000192255931095474,0.00269158303533664,g__unclassified
ASV104,0,0.00136501711077787,0.000865151689929634,0.0010958588072442,0.00371053947014265,0.00555619640865921,g__Flavitalea
ASV105,0.000422963048410043,0,0,0.000922828469258277,0,0,g__unclassified
ASV106,0.00496020302226324,0.000634444572615065,0.00209558964894067,0.00194178490406429,0,0,g__Gaiella
ASV107,0.00159572422809244,0.000326835082862306,0.00309532049063714,0.000769023724381897,0.00496020302226324,0.000692121351943707,g__Ellin6067
ASV108,0.00251855269735071,0.000461414234629138,0.0010958588072442,0.000922828469258277,0,0,g__RB41
ASV109,0.000961279655477371,0.000961279655477371,0.00301841811819895,0.00257622947667936,0.00119198677279194,0,g__unclassified
